excel_region,parent_code,quality_tier,source,limitations,has_geometry
"british mauritius, adamawa and bornu",MUS-1800-2025,4,No proxy available,Possibly mislabelled OCR entry. Mauritius is an island; Adamawa and Bornu are Nigerian provinces. Cannot resolve geographically,False
"british nigeria and cameroon: north provinces, adamawa and bornu",NIG-1914-1961,2,"CShapes 2.0 merged: Northern Nigeria, British Cameroons",Merged Northern Nigeria + British Cameroons CShapes polygons. Northern Cameroons was administered as part of northern Nigerian provinces,True
british nigeria and cameroon: south provinces,NIG-1914-1961,2,"CShapes 2.0 merged: Southern Nigeria, British Cameroons",Merged Southern Nigeria + British Cameroons CShapes polygons,True
british nigeria: north provinces,NIG-1914-1961,1,"CShapes 2.0 (Northern Nigeria, 1903-1904)",CShapes Northern Nigeria protectorate (1899-1913). Post-1914 provincial boundary followed same line (roughly along Niger/Benue rivers). CShapes polygon ends at 1913; used as proxy for post-1914 administrative division,True
british nigeria: south provinces,NIG-1914-1961,1,"CShapes 2.0 (Southern Nigeria, 1906-1913)",CShapes Southern Nigeria protectorate (1899-1913). Same caveat as north provinces,True
british nyasaland (european cultivation),NYA-1891-2025,2,"CShapes 2.0 (Malawi, 1891-1953)",Not a geographic subdivision; data variant. Using full Nyasaland/Malawi CShapes polygon,True
british nyasaland (indigenous cultivation),NYA-1891-2025,2,"CShapes 2.0 (Malawi, 1891-1953)",Not a geographic subdivision; data variant. Using full Nyasaland/Malawi CShapes polygon,True
british straits settlements: labuan,STR-1826-1922,2,GADM admin-1: MYS [Labuan],Colonial Labuan = modern Labuan Federal Territory. Boundaries stable (island),True
british straits settlements: malacca,STR-1826-1922,2,GADM admin-1: MYS [Melaka],Colonial Malacca = modern Melaka state. Boundaries stable since colonial era,True
british straits settlements: penang,STR-1826-1922,2,GADM admin-1: MYS [Pulau Pinang],"Colonial Penang = modern Pulau Pinang state. Note: colonial Penang included the Dindings (transferred to Perak, 1935)",True
british straits settlements: singapore,STR-1826-1922,2,GADM admin-0: SGP,Modern Singapore = colonial Singapore settlement. Boundaries stable,True
british unfederated malay states: johor,UNF-1909-1946,2,GADM admin-1: MYS [Johor],Colonial Johor = modern Johor state (Malaysia). Boundaries stable since colonial era,True
british unfederated malay states: kedah,UNF-1909-1946,2,GADM admin-1: MYS [Kedah],Colonial Kedah = modern Kedah state (Malaysia). Boundaries stable since colonial era,True
british unfederated malay states: kelantan,UNF-1909-1946,2,GADM admin-1: MYS [Kelantan],Colonial Kelantan = modern Kelantan state (Malaysia). Boundaries stable since colonial era,True
british unfederated malay states: perlis,UNF-1909-1946,2,GADM admin-1: MYS [Perlis],Colonial Perlis = modern Perlis state (Malaysia). Boundaries stable since colonial era,True
british unfederated malay states: terengganu,UNF-1909-1946,2,GADM admin-1: MYS [Trengganu],Colonial Terengganu = modern Terengganu state (Malaysia). Boundaries stable since colonial era,True
china: excluding manchuria,CHN-1800-2025,3,"GADM admin-0 minus admin-1: CHN - [Heilongjiang, Jilin, Liaoning]",CShapes China polygon minus Manchuria (Heilongjiang+Jilin+Liaoning GADM provinces). Approximate: Manchukuo also included parts of Inner Mongolia,True
china: manchuria,CHN-1800-2025,3,"GADM admin-1 merged: CHN [Heilongjiang, Jilin, Liaoning]","Manchuria ≈ modern Heilongjiang + Jilin + Liaoning ('Three Northeastern Provinces'). Note: Manchukuo (1932-1945) also included parts of Inner Mongolia (Hulunbuir, Hinggan) and Hebei (Chengde); this approximation covers the core territory only",True
denmark (rural communities),DNK-1920-2025,2,GADM admin-0: DNK,Not a geographic subdivision; rural communities across all Denmark. Using full Denmark polygon,True
denmark: faroe islands,FRO-1800-2025,2,GADM admin-0: FRO,GADM Faroe Islands; boundaries stable (island group),True
denmark: greenland,GRL-1800-2025,2,GADM admin-0: GRL,GADM Greenland; boundaries stable (island),True
dutch bali and lombok,DEI-1800-2025,3,"GADM admin-1 merged: IDN [Bali, Nusa Tenggara Barat]","Bali province + Nusa Tenggara Barat (which includes Sumbawa, not part of historical 'Bali and Lombok'). Acceptable proxy; Lombok is ~80% of NTB area",True
dutch bali and lombok (indigenous cultivation),DEI-1800-2025,3,"GADM admin-1 merged: IDN [Bali, Nusa Tenggara Barat]",Same geography as Bali and Lombok,True
dutch east outer provinces,DEI-1800-2025,3,"GADM admin-1 merged: IDN [Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]",Groote Oost (East Outer Provinces): all islands east of Java/Borneo. GADM provinces of NTT + Sulawesi + Maluku + Papua. Excludes Bali/NTB. Note: historical division included West New Guinea (now Indonesian Papua),True
dutch east outer provinces (european plantations),DEI-1800-2025,3,"GADM admin-1 merged: IDN [Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]",Same geography as East Outer Provinces,True
dutch east outer provinces (indigenous cultivation),DEI-1800-2025,3,"GADM admin-1 merged: IDN [Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]",Same geography as East Outer Provinces,True
dutch java and madura,DEI-1800-2025,2,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]",Java provinces from GADM. Madura is part of Jawa Timur. Island-based division; geographic boundaries are precise,True
dutch java and madura (european cultivation),DEI-1800-2025,2,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]","Same geography as Java and Madura; European cultivation is a data variant, not geographic",True
dutch java and madura (indigenous cultivation),DEI-1800-2025,2,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]",Same geography as Java and Madura; indigenous cultivation is a data variant,True
dutch java and madura (native cultivations),DEI-1800-2025,2,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]",Same geography as Java and Madura,True
dutch java and sumatra,DEI-1800-2025,2,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta, Aceh, Sumatera Utara, Sumatera Barat, Kepulauan Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kepulauan Riau]",Java + Sumatra provinces merged,True
"dutch java, madura and east outer provinces",DEI-1800-2025,3,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta, Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]","Java + Madura + East Outer Provinces (everything except Sumatra, Borneo, Bali/Lombok)",True
dutch sint eustatius and sint maarten,DUT-1800-2025,3,"GADM admin-0 merged: BES, SXM",Colonial Dutch Caribbean islands. Merged GADM: Bonaire/Sint Eustatius/Saba (BES) + Sint Maarten (SXM). Includes Bonaire and Saba which weren't part of the historical grouping,True
dutch sumatra,DEI-1800-2025,2,"GADM admin-1 merged: IDN [Aceh, Sumatera Utara, Sumatera Barat, Kepulauan Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kepulauan Riau]",All Sumatran provinces from GADM. Island-based; geographic boundary is precise,True
dutch sumatra (european cultivation),DEI-1800-2025,2,"GADM admin-1 merged: IDN [Aceh, Sumatera Utara, Sumatera Barat, Kepulauan Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kepulauan Riau]",Same geography as Sumatra,True
el salvador: san salvador department,SLV-1821-2025,2,GADM admin-1: SLV [San Salvador],Modern San Salvador department,True
france: alsace,FRA-1919-2025,2,"GADM admin-2 merged: FRA [Bas-Rhin, Haut-Rhin]",Alsace = Bas-Rhin + Haut-Rhin départements (GADM level-2). Note: historical Alsace included parts of Belfort (now Territoire de Belfort),True
french annam,FID-1887-2025,4,No proxy available,"Annam = central Vietnam (Hue region, between ~11th-18th parallels). No modern admin equivalent; cuts across Vietnamese provinces. Would require historical GIS data",False
french cambodia,FID-1887-2025,1,"CShapes 2.0 (Cambodia (Kampuchea), 1907-1953)",CShapes colonial Cambodia; borders largely stable since French protectorate,True
french chad,FEA-1910-2025,1,"CShapes 2.0 (Chad, 1919-1920)",CShapes colonial Chad; borders unchanged at independence,True
french chad and oubangui‑chari,FEA-1910-2025,2,"CShapes 2.0 merged: Chad, Central African Republic",Merged Chad + CAR CShapes polygons,True
"french chad, gabon, middle congo and oubangui‑chari",FEA-1910-2025,2,"CShapes 2.0 merged: Chad, Gabon, Congo, Central African Republic",All four FEA territories merged; equals the FEA aggregate polygon,True
"french chad, middle congo and oubangui‑chari",FEA-1910-2025,2,"CShapes 2.0 merged: Chad, Congo, Central African Republic",Merged Chad + Congo + CAR CShapes polygons,True
french cochinchina,FID-1887-2025,4,No proxy available,"Cochinchina = southern Vietnam (Saigon, Mekong Delta, south of ~11th parallel). No modern admin equivalent; would require historical GIS data",False
french dahomey,FWA-1895-2025,1,"CShapes 2.0 (Benin, 1898-1960)",CShapes Dahomey/Benin; colonial borders became modern borders,True
french dakar,FWA-1895-2025,3,GADM admin-1: SEN [Dakar],"Dakar was a city/commune, not a territory. GADM admin-1 Dakar region is a rough proxy",True
french east morocco,MOR-1904-1956,4,No proxy available,"Eastern zone of the French protectorate (towards Algeria, including Taza corridor). Not a standard modern division; would require historical maps of the French protectorate administrative zones",False
french gabon,FEA-1910-2025,1,"CShapes 2.0 (Gabon, 1919-1960)",CShapes colonial Gabon; borders unchanged at independence,True
french gabon and middle congo,FEA-1910-2025,2,"CShapes 2.0 merged: Gabon, Congo",Merged Gabon + Congo-Brazzaville CShapes polygons,True
french guadeloupe: marie‑galante,GLP-1800-2025,4,No proxy available,Marie-Galante is a small island in the Guadeloupe archipelago. Would require sub-admin polygon extraction,False
french guinea,FWA-1895-2025,1,"CShapes 2.0 (Guinea, 1894-1958)",CShapes colonial-era Guinea; borders unchanged at independence,True
french ivory coast,FWA-1895-2025,1,"CShapes 2.0 (Cote D'Ivoire, 1902-1932)",CShapes Côte d'Ivoire; colonial borders became modern borders,True
french laos,FID-1887-2025,1,"CShapes 2.0 (Laos, 1896-1953)",CShapes colonial Laos; borders largely stable since French protectorate,True
french lebanon,SYR-1918-2025,1,"CShapes 2.0 (Lebanon, 1920-1920)",CShapes Lebanon from French Mandate period; boundaries established under mandate,True
french madagascar: juan de nova,MAD-1912-1946,4,No proxy available,Juan de Nova is a tiny island (4.4 km²) in the Mozambique Channel. Would require Natural Earth minor islands data,False
french mauritania,FWA-1895-2025,1,"CShapes 2.0 (Mauritania, 1913-1920)",CShapes colonial Mauritania; borders unchanged at independence,True
french middle congo,FEA-1910-2025,1,"CShapes 2.0 (Congo, 1919-1960)",CShapes Congo-Brazzaville = Middle Congo; borders unchanged at independence,True
french middle congo and oubangui‑chari,FEA-1910-2025,2,"CShapes 2.0 merged: Congo, Central African Republic",Merged Congo + CAR CShapes polygons,True
french niger,FWA-1895-2025,1,"CShapes 2.0 (Niger, 1905-1926)",CShapes colonial Niger; borders unchanged at independence,True
french oceania: makatea,PYF-1800-2025,4,No proxy available,Makatea is a single atoll in French Polynesia (29 km²). Known for phosphate mining. Would require point/small-area data,False
french oubangui‑chari,FEA-1910-2025,1,"CShapes 2.0 (Central African Republic, 1919-1960)",CShapes CAR = Oubangui-Chari; colonial borders became modern borders,True
french senegal,FWA-1895-2025,1,"CShapes 2.0 (Senegal, 1886-1959)",CShapes colonial-era Senegal; borders unchanged at independence (uti possidetis juris),True
french senegal and sudan,FWA-1895-2025,2,"CShapes 2.0 merged: Senegal, Mali",Combined Senegal + French Sudan (Mali) polygons,True
french sudan,FWA-1895-2025,1,"CShapes 2.0 (Mali, 1919-1932)",CShapes Mali/French Sudan; borders changed when Upper Volta carved out (1919) and reattached (1932-1947),True
french syria,SYR-1918-2025,1,"CShapes 2.0 (Syria, 1920-1920)",CShapes Syria from French Mandate period; boundaries established under mandate,True
french syria and lebanon: state of the alawites,SYR-1918-2025,3,"GADM admin-1 merged: SYR [Lattakia, Tartus]",Alawite State (1920-1937): autonomous territory in NW Syria. Approximated by Latakia + Tartus governorates from GADM. Historical boundaries extended slightly beyond these into parts of Hama and Idlib,True
french tonkin,FID-1887-2025,4,No proxy available,"Tonkin = northern Vietnam (north of ~18th parallel, around Hanoi). No modern admin equivalent; the 1954 N/S Vietnam partition roughly follows the old Tonkin/Annam boundary. Would require historical GIS data",False
french upper senegal and niger,FWA-1895-2025,3,"CShapes 2.0 merged: Mali, Niger, Burkina Faso (Upper Volta)",Upper Senegal and Niger (1904-1920) encompassed Mali+Niger+Burkina Faso. Merged CShapes polygons are approximate; internal boundaries shifted multiple times,True
french upper volta,FWA-1895-2025,1,"CShapes 2.0 (Burkina Faso (Upper Volta), 1919-1932)","CShapes Upper Volta/Burkina Faso; dissolved 1932-1947, reconstituted boundaries",True
french west morocco,MOR-1904-1956,4,No proxy available,"Western/Atlantic zone of the French protectorate (Casablanca, Rabat). Not a standard modern division",False
italian libya: cyrenaica,ITL-1911-2025,3,"GADM admin-1 merged: LBY [Benghazi, Al Marj, Darnah, Al Jabal al Akhdar, Al Butnan, Al Kufrah, Al Wahat]",Cyrenaica = eastern Libya. Approximated by eastern Libyan districts. Libya used this tripartite division (Tripolitania/Cyrenaica/Fezzan) officially until 1963,True
italian libya: tripolitania,ITL-1911-2025,3,"GADM admin-1 merged: LBY [Tripoli, Al Marqab, Misratah, Al Jufrah, Nalut, Az Zawiyah, An Nuqat al Khams, Al Jabal al Gharbi]",Tripolitania = NW Libya. Approximated by western Libyan districts. Historical boundary roughly followed the Gulf of Sidra coastline. Modern districts are much finer than the three historical regions,True
japan: karafuto prefecture,JPN-1800-2025,1,"CShapes 2.0 (Southern Sakhalin Island, 1905-1945)",CShapes has Southern Sakhalin Island (1905-1945) polygon; this IS Karafuto Prefecture,True
japanese south pacific: angaur,MNP-1991-2025,4,No proxy available,Angaur is a single island in Palau (8 km²). Would require specific island polygon,False
japanese south pacific: palau,MNP-1991-2025,2,GADM admin-0: PLW,GADM Palau country polygon,True
new zealand: cook,COK-1893-2025,2,GADM admin-0: COK,Cook Islands; boundaries stable (island group),True
portugal: madeira,PRT-1800-2025,2,GADM admin-1: PRT [Madeira],"Madeira autonomous region; island, boundaries inherently stable",True
portuguese mozambique: company,MOZ-1816-2025,3,"GADM admin-1 merged: MOZ [Manica, Sofala]","Mozambique Company territory (1891-1942) ≈ modern Manica + Sofala provinces. Historical boundary followed the Save River (south) and Zambezi (north), which don't precisely align with modern provincial lines",True
portuguese mozambique: niassa,MOZ-1816-2025,3,"GADM admin-1 merged: MOZ [Cabo Delgado, Nassa]","Niassa Company territory (1893-1929) ≈ modern Cabo Delgado + Niassa provinces. Southern boundary was the Lurio River, not precisely matching modern provincial boundary",True
portuguese mozambique: province,MOZ-1816-2025,3,"GADM admin-1 merged: MOZ [Maputo, Gaza, Inhambane, Zambezia, Tete, Nampula]","Directly-administered territory = remainder after subtracting Company and Niassa zones. Approximate; boundaries were river-based, not aligned with modern provinces",True
russia in asia,RUS-1991-2014,4,No proxy available,Asian Russia ≈ east of Urals. Would require classifying Russian federal subjects,False
russia in europe,RUS-1991-2014,4,No proxy available,European Russia ≈ west of Urals. Same caveat,False
spain: canary,CAN-1800-2025,2,GADM admin-1: ESP [Islas Canarias],"Canary Islands; island group, boundaries inherently stable",True
spanish morocco: ceuta,SPA-1912-1956,2,GADM admin-1: ESP [Ceuta y Melilla],Modern Spanish autonomous city; boundaries stable,True
spanish morocco: melilla,SPA-1912-1956,2,GADM admin-1: ESP [Ceuta y Melilla],Modern Spanish autonomous city; boundaries stable,True
turkey in asia,TUR-1920-2025,3,"GADM admin-0 minus admin-1: TUR - [Edirne, Kirklareli, Tekirdag]",Turkey GADM polygon minus East Thrace (Edirne+Kirklareli+Tekirdag). Note: Istanbul and Canakkale provinces straddle the divide; this keeps their entire area in the 'Asia' result,True
turkey in europe,TUR-1920-2025,3,"GADM admin-1 merged: TUR [Edirne, Kirklareli, Tekirdag]",East Thrace ≈ Edirne + Kirklareli + Tekirdag provinces. Note: Istanbul and Canakkale provinces straddle the continental divide; this approximation excludes their European parts,True
uk: england and wales,GBR-1800-1921,2,"GADM admin-1 merged: GBR [England, Wales]",Merged England + Wales from GADM. Boundary stable since Laws in Wales Acts (1535-1542),True
uk: great britain,GBR-1800-1921,2,"GADM admin-1 merged: GBR [England, Wales, Scotland]",Merged England + Wales + Scotland from GADM,True
uk: north ireland,GBR-1800-1921,2,GADM admin-1: GBR [Northern Ireland],Northern Ireland created 1921 (6 counties of Ulster); boundary stable since,True
uk: scotland,GBR-1800-1921,2,GADM admin-1: GBR [Scotland],Scotland boundary with England fixed since Treaty of York (1237),True
union of south africa: cape province,ZAF-1828-2025,3,"GADM admin-1 merged: ZAF [Western Cape, Eastern Cape, Northern Cape]",Historical Cape Province (1910-1994) was divided into 3 modern provinces in 1994. Merged Western + Eastern + Northern Cape is a good approximation but modern boundaries may differ at margins,True
usa: california,USA-1800-1959,2,GADM admin-1: USA [California],State boundaries stable since 1850 admission,True
usa: louisiana and florida,USA-1800-1959,2,"GADM admin-1 merged: USA [Louisiana, Florida]",State boundaries stable,True
"usa: other states different from alaska, california, louisiana and florida",USA-1800-1959,3,"GADM admin-0 minus admin-1: USA - [Alaska, California, Louisiana, Florida]","USA GADM polygon minus Alaska, California, Louisiana, Florida. Contiguous US residual + Hawaii",True
ussr in asia,F228-1921-1940,4,No proxy available,Asian USSR ≈ east of Urals + Central Asian SSRs. Same boundary ambiguity as above,False
ussr in europe,F228-1921-1940,4,No proxy available,"European USSR ≈ west of Ural Mountains. Would require classifying Russian federal subjects into European/Asian; some straddle the boundary (Chelyabinsk, Sverdlovsk, Orenburg, Bashkortostan). Plus non-Russian SSRs",False
ussr: khibiny,F228-1921-1940,4,No proxy available,"Khibiny is a mining locality in the Kola Peninsula (Murmansk Oblast), not an administrative unit. Would require a point or very small area polygon",False
ussr: transcaucasian sfsr,F228-1921-1940,2,"CShapes 2.0 merged: Georgia, Armenia, Azerbaijan",Transcaucasian SFSR (1922-1936) = Georgia + Armenia + Azerbaijan. CShapes has individual country polygons,True
