continent,country,notes
AFRICA,German South West Africa (Namibia),"German South-West Africa (German: Deutsch-Südwestafrika, DSWA) was a colony of the German Empire from 1884 until 1915, when it was taken over by the Union of South Africa (as part of the British Empire) and administered as South-West Africa, finally becoming Namibia in 1990. Data on trade at current prices are reported by two British sources, United Kingdom (foreign countries). Statistical yearbook for 1901-1912 (pp.304-305) and the United Kingdom (colonies) Statistical yearbook from 1919 to 1938. Since 1922, the data refer to exports of domestic products. In that year, re-exports accounted for about 7% of total exports: we use this figure to subtract re-exports in 1901-1921. We extrapolate backward trade to 1850 according to the series for Ghana-Gold Coast. Finally, we deflate with Federico-Tena German South West Africa export and import price indexes."
AFRICA,Gold Coast-Ghana,"The Gold Coast was the region of West Africa that is now the nation of Ghana. Early uses of the term refer literally to the coast and not the interior. It was not until the 19th century that the term came to refer to areas that are far from the coast. In 1850 all of the settlements became part of the British Gold Coast. We get data of exports and imports from United Kingdom (colonies) Statistical Yearbook (ad annum) from 1828 to 1914 and from 1922 to 1938 and from Mitchell (2007) for 1915-1921.  We subtract re-exports according to the data from the same Statistical yearbook since 1913, using the 1913 figure (ca 0.2% - i.e. almost one fourth of the percentage in interwar years) for the previous years. We extrapolate the export series to 1817 by reflating the series of British commodity imports from West Africa at constant prices from Inikori (1983) with the Liverpool Palm oil price index (Latham 1973 p.292-293). The series after 1850 are deflated with Federico-Tena Gold Coast price indexes, while for exports 1817-1850 we use the Federico-Tena Gambia price index."
AFRICA,Guinea Bissau,"It then became the Portuguese colony of Portuguese Guinea in the early 19th century. Upon independence, declared in 1973. We used data for current imports and exports for the years 1901-1936 in sterling pounds from Salgado (1939; “Mapa nº3” and “ Mapa nº6”) which excludes bullion. We extend these series backwards to 1850 with the Gambia import and export series and we use Federico –Tena price indexes for Gambia to deflate."
AFRICA,Italian Libia Cyrenaica,"Italian Cyrenaica was an Italian colony, located in present-day eastern Libya, that existed from 1927 to 1934. It was part of the Italian North African territory conquered from the Ottoman Empire in 1911. Current exports and imports have been estimated in 1913 assuming a population in around 1 millon in that year, and a similar per capita exports than British Somaliland in the same year.  We use export and imports current data from League of Nations. Trade Statisics. We move the respective levels according the same bilateral trade series with Italy from 1910 to 1925 and backwards following the respective series of Tunisia. We obtain constant price series by deflating with the Federico-Tena British Somaliland export and import price indexes."
AFRICA,Italian Somalia,"Italian Somalia, was a colony of the Kingdom of Italy from the 1880s until 1936 in the region of modern-day Somalia. In 1936, the region was integrated into Africa Orientale Italiana as part of the Italian Empire. Data on trade of the area are available only after 1929, from League of Nations. Trade statistics. Review.  We project the level of exports and imports in 1929 backwards to 1913 with a simple average of indexes of imports from Somalia into Italy (Italy. Trade statistics) and from Italian East Africa into Aden from United Kingdom (colonies) Statistical Yearbook. We extrapolate the 1913 level back to 1850 with the series of British Somalia respective trade and we use the Federico-Tena British Somaliland export and import price indexes to deflate."
AFRICA,Liberia:,"Liberia is the only country in Africa founded by United States colonization while occupied by native Africans. Beginning in 1820, the region was colonized by black people  from the United States, most of whom were freed slaves. The only available series of Liberian trade, from Mitchell (2007) starts in 1930. We extrapolate imports and exports in that year to 1850 with the series for the French Equatorial Africa and we deflate the resulting series with the price indexes for French Equatorial Africa."
AFRICA,Madagascar,"The policy unit comprises the island of Madagascar, as well as numerous smaller peripheral islands. Beginning in the early 19th century, most of the island was united and ruled as the Kingdom of Madagascar by a series of Native nobles but under western different political and commercial alliance. The monarchy collapsed in 1897 when the island was absorbed into the French colonial empire. We get series of imports and exports at current prices from France. Statistical yearbook (1939) since 1881. We extrapolate the level of exports to 1850 by interpolating and extrapolating the scattered data 1864-1880 for the port of Toamasina, the main harbor of the island, from Campbell (1983 p.581) and the level of imports with the series for the Mauritius. We deflate the series with Federico-Tena price indexes."
AFRICA,Malawi (Nyasaland),"In 1889, a British protectorate was proclaimed over the Shire Highlands, which was extended in 1891 to include the whole of present day Malawi as the British Central Africa Protectorate. In 1907, the protectorate was renamed Nyasaland, a name it retained for the remainder of its time under British rule. We use export and import current data from Mitchell (2007) for 1894-1921 United Kingdom (colonies) Statistical Yearbook from 1922 onwards. From 1850-1894 we follow Mauritius exports and imports. United Kingdom (colonies) Statistical Yearbook provides data on re-exports and we assume the share to have remained constant at 6% before 1913.  We deflate export and import from 1850 to 1938 with Federico-Tena exports and imports price indexes, and exports from 1828 to 1850 with the Mauritius export price index."
AFRICA,Mauritius,"The British took control of Mauritius in 1810 during the Napoleonic Wars. This polity unit remained under British rule until it became an independent Commonwealth realm on 12 March 1968 and a republic within the Commonwealth on 12 March 1992. We use current exports and imports from United Kingdom (colonies). Statistical Yearbook from 1828 to 1938, filling the gap in 1915-1921 with the data from Mitchell (2007). We subtract re-exports with the data from the Yearbook in 1913 and after 1922, while before 1913 we assume the share to have remained constant at 2% (about a half of the percentage after 1922). We deflate with Federico-Tena price indexes."
AFRICA,Morocco,"The United Kingdom (Foreign Countries). Statistical Yearbook reports data on sea-borne import and export trade of the Empire of Morocco in pound sterling (excluding bullion) in 1835, 1839, 1852-1857 and 1862-64, and the France. Statistical Yearbook (1939) a continuous series since 1904. We extrapolate exports and imports to 1827 and 1850 respectively, and fill the gaps either by linear interpolarion between close-by years or by assuming that total exports moved in parallel to imports in France from Morocco, and total imports in parallel to imports in Algeria. We deflate with Federico-Tena price indexes."
AFRICA,Mozambique,"Colonized by Portugal from 1505, after over four centuries of Portuguese rule, Mozambique gained independence in 1975. During the 19th century other European powers, particularly the British (British South Africa Company) and the French (Madagascar), became increasingly involved in the trade and politics of the region around the Portuguese East African territories. We use data for current imports and exports for the years 1901-1936 in sterling pounds from Salgado (1939; “Mapa nº3” and “Mapa nº6”) which excludes bullion. We extend this series backwards to 1848, with the series of ‘National and nationalized Portuguese Exports and Imports from African colonies’ by Clarence-Smith (1983, p.404) and exports to 1828 with the Mauritius export series. We deflate exports from 1828 to 1850 with the Mauritius price index, while after 1850 we use the Federico-Tena Angola-Mozambique price indexes for both imports and exports."
AFRICA,Nyasaland Protectorate (Malawi),"In 1889, a British protectorate was proclaimed over the Shire Highlands, which was extended in 1891 to include the whole of present day Malawi as the British Central Africa Protectorate. In 1907, the protectorate was renamed Nyasaland, a name it retained for the remainder of its time under British rule. We use export and import current data from Mitchell (2007) for 1894-1921 United Kingdom (colonies) Statistical Yearbook from 1922 onwards. From 1850-1894 we follow Mauritius exports and imports. United Kingdom (colonies) Statistical Yearbook provides data on re-exports and we assume the share to have remained constant at 6% before 1913.  We deflate export and import from 1850 to 1938 with Federico-Tena exports and imports price indexes, and exports from 1828 to 1850 with the Mauritius export price index."
AFRICA,Nigeria,"First organized settlements of British people, in what later became Nigeria, was in Lagos Colony centered on the port of Lagos in what is now southern Nigeria. Lagos was annexed on 6 August 1861 and declared a colony on 5 March 1862. In 1885, British claims to a West African sphere of influence received recognition from other European nations, but only on 1 January 1901, Nigeria became a British protectorate, part of the British Empire. The independent kingdoms of what later became Nigeria fought many wars against the British Empire in the late 19th and early 20th centuries trying to regain independence. By war, the British conquered Benin in 1897, and in the Anglo-Aro War from 1901—1902 defeated other opponents. The restraint or complete destruction of these states opened up the Niger area to British rule. In 1914, the British formally united the Niger area as the Colony and Protectorate of Nigeria. We get data of exports and imports from United Kingdom (colonies) Statistical Yearbook (ad annum) from 1828 to 1914 and from 1922 to 1938 and from Mitchell (2007) for 1915-1921.  We subtract re-exports according to the data from the same Statistical yearbook in 1913 and since 1922, using the 1913 figure (ca 9% - a bit higher than in interwar years) for the previous years. We extrapolate the export series to 1817 by reflating the series of British commodity imports from West Africa at constant prices from Inikori (1983) with the Liverpool Palm oil price index (Latham 1973 p.292-293). We deflate the export series before 1850 with the Federico-Tena price index for Sierra Leone, both series from 1850 to 1900 with Federico-Tena price indexes and since 1902 with the Fisher price indexes by Birnberg and Resnick (1975 tab. A34)."
AFRICA,Reunion,"East of Madagascar, and southwest of Mauritius, Administratively, Reunion is even today one of the overseas departments of France. Colonization started in 1665, when the French East India Company sent the first 20 settlers. It was under French rule except for a few years after Napoleonic defeat. We use the Mitchell (2007) series for exports since 1838 and for imports since 1850 and we deflate them with the Federico-Tena Mauritius respective price indexes."
AFRICA,Rhodesia,"Rhodesia comprised the region now known as Zimbabwe (Southern Rhodesia) and Zambia (Nothern Rhodesia). We know that, de facto, in the interwar years existed only the former British colony of Southern Rhodesia (which had achieved responsible government in 1923). We have not estimated a series for this colony before 1906 because the United Kingdom (colonies) Statistical Yearbook (1916 p.60) states that the trade of Bechuanaland Protectorate, Southern Rhodesia and Northern Rhodesia was included in the figures for the Cape of Good Hope. This source reports separate series for Southern and Northern Rhodesia, apparently excluding transit, since 1906. We thus sum them and we compute series at constant prices with Federico-Tena price indexes."
AFRICA,Rwanda-Burundi,"Until 1918 part of the German East Africa. The Treaty of Versailles broke up the colony, giving the north-western area to Belgium as Rwanda-Burundi. We have obtained data for exports and imports 1929, 1932, 1935, 1936, 1937 and 1938 from League of Nations. Trade statistics. Review (1938). We interpolate the missing years and we extrapolate the series to 1922 to 1929 with the Tanganica series. We deflate with the exports and imports price indexes for Tanganica."
AFRICA,São Tomé and Príncipe,"The islands of São Tomé and Príncipe were uninhabited before the arrival of the Portuguese sometime around 1470.  By the mid-16th century the Portuguese settlers had turned the islands into Africa's foremost exporter of sugar. In the early 19th century, two new cash crops, coffee and cocoa, were introduced. By 1908, São Tomé had become the world's largest producer of cocoa, which remains the country's most important crop. We use data for current imports and exports for the years 1901-1936 in sterling pounds from Salgado (1939; “Mapa nº3” and “ Mapa nº6”) which excludes bullion. We extend the series to 1850 and to 1938 with import and export series for Gambia. We deflate exports with the adjusted London price of cocoa and imports with the Federico-Tena index for Angola and Mozambique."
AFRICA,Seychelles,"A transit point for trade between Africa and Asia, the 115 islands northeast of the island of Madagascar, were occasionally used by pirates until the French began to take control starting in 1756.  The British contested control over the islands between 1794 and 1810. Britain eventually assumed full control upon the surrender of Mauritius in 1810, formalized in 1814 at the Treaty of Paris. Seychelles became a crown colony separate from Mauritius in 1903 but it apparently enjoy from the beginning an autonomous administration. We get series of exports and imports for 1890-1938 from the United Kingdom (colonies). Statistical Yearbook (ad annum). We extrapolate exports to 1828 and imports to 1850 with the Mauritius series and we deflate the results with the Federico-Tena price indexes for Mauritius."
AFRICA,Sierra Leone,"In 1787 a settlement was founded in Sierra Leone in what was called the ""Province of Freedom”. In 1800 Sierra Leone was still only a small colony extending a few miles up the peninsula from Freetown.   Over the course of the 19th century that gradually changed: the British and Creoles in the Freetown area increased their involvement in—and their control over—the surrounding territory.   Although formally a Protectorate, Sierra Leone was more in the nature of a unilateral acquisition of territory by Britain. The United Kingdom (colonies) Statistical Yearbook (ad annum) reports data of imports and exports at current prices 1828 to 1914 and from 1922 to 1938, which we supplement with data from Mitchell (2007) for 1915-1921.  We subtract re-exports according to the data from the same Statistical yearbook in 1913 and since 1922, using the 1913 figure (ca 1% - very close to the share after 1922) for the previous years. We extrapolate the export series to 1817 by reflating the series of British commodity imports from West Africa at constant prices from Inikori (1983) with the Liverpool Palm oil price index (Latham 1973 p.292-293).  We deflate the series with Federico-Tena price indexes."
AFRICA,South Africa,"In 1652, a century and a half after the discovery of the Cape Sea Route, Jan van Riebeeck established a refreshment station at the Cape of Good Hope, at what would become Cape Town, on behalf of the Dutch East India Company. The British fought for the control of the South African mineral wealth. Cape Town became a British colony in 1806. During the 1830s, approximately 12,000 Boers (later known as Voortrekkers), departed from the Cape Colony, where they had been subjected to British control. They migrated to the future Natal, Orange Free State, and Transvaal regions. The Boers founded the Boer Republics: the South African Republic (now Gauteng, Limpopo, Mpumalanga and North West provinces) and the Orange Free State (Free State). The discovery of diamonds in 1867 and gold in 1884 in the interior started the Mineral Revolution and increased economic growth and immigration. This intensified the European-South African subjugation of the indigenous people. The struggle to control these important economic resources was a factor in relations between Europeans and the indigenous population and also between the Boers and the British. Eight years after the end of the Second Boer War and after four years of negotiation, an act of the British Parliament (South Africa Act 1909) created the Union of South Africa on 31 May 1910. The Union was a British dominion that included the former territories of the Cape and Natal colonies, as well as the republics of Orange Free State and Transvaal. All our data are from United Kingdom (colonies) Statistical Yearbooks several years series for the Cape of Good Hope from 1828 to 1849, aand a sum of the Cape of Good Hope  and Natal from 1850 to 1888. From 1889 to 1909, following United Kingdom (colonies) Statistical Yearbooks it is possible to sum Natal + Cape of Good Hope + Basutholand + Bechuonaland + Swaziland + Orage River Colonie + Transval total foreign trade for these regions that will constitute the Union of South Africa in 1910. The Board of Trade offer two series for exports and imports of the respective regions. The first that include the interstate trade between the mentioned regions, the second that exclude “as far as possible” that trade. Dimention of interstate trade records is very tiny between 1890-1900 but difference between series with or witout interregional trade arrive to be very significant (the first, in some years, threefold the levels of the second) from 1901 to 1909.  Our assumption is that land loked interstate trade regions double counting trade already record in the main ports of the open sea regions. That is the classical fail to distiguiss “transit trade”. So we have used the second series that exclude interstate trade (“as far as possible”) that are also much more consistent with the official Union of South Africa data in 1910.  Since 1910, the United Kingdom (colonies) Statistical Yearbook (ad annum) report data for the whole South Africa. We subtract re-exports according to the data from the same Statistical yearbook in 1913 and since 1922, using the 1913 figure (ca 2% about half the share after 1922) for the previous years. We deflate with Federico-Tena price indexes."
AFRICA,Sudan,"With the opening of the Suez Canal in 1869, Egypt and Sudan's economic and strategic importance increased enormously, attracting the imperial attentions of the Great Powers, particularly the United Kingdom. In 1882, the British bombarded Alexandria, Egypt's and Sudan's primary seaport, and subsequently invaded the country. British forces overthrew the government in Cairo and proceeded to occupy the rest of Egypt and Sudan in 1882. From 1885 to 1898 the population of Sudan collapsed from eight to three million due to war, famine and disease. Whereas British influence in Egypt was officially advisory (though in reality it was far more direct), the British insisted that their role in Sudan be formalized. Thus, an agreement was reached in 1899 establishing Anglo-Egyptian rule, under which Sudan was to be administered by a governor-general appointed by Egypt with British consent. We use current export and import series from United Kingdom (colonies). Statistical Yearbook (ad annum) from 1907 to 1938, subtract ing re-exports and bullion. The source reports data after 1911, while for 1907-1910 we assume the share to have remained constant at its 1911 level. We extrapolate backwards imports and exports to 1850 with the series of British Somaliland and we deflate with Federico –Tena price indexes."
AFRICA,Tanganica (German East Africa),"German East Africa (German: Deutsch-Ostafrika) was a German colony in East Africa established on March 1885, which included what are now Burundi, Rwanda and Tanganyika (the mainland part of present Tanzania). The Treaty of Versailles broke up the colony, giving the north-western area to Belgium as Ruanda-Urundi, the small Kionga Triangle south of the Rovuma River to Portugal to become part of Mozambique, and the remainder to Britain, which named it Tanganika. We piece together a series after 1891 with data from Mitchell (2007) for 1891-1900,  United Kingdom (foreign countries). Statistical Yearbook (1901-1912 pp.304-305) for 1901-1912 and United Kingdom (colonies) Statistical Yearbook from 1922 onwards. We extrapolate backwards imports to 1850 and exports to 1828 with the Mauritius trade. We deflate exports before 1850 with the Mauritius price index and imports and export thereafter with Federico-Tena Tanganica indexes."
AFRICA,Togo (German West Africa),"Togoland was a German protectorate in West Africa from 1884 to 1914, encompassing what is now the nation of Togo and most of what is now the Volta Region of Ghana. At the outbreak of the First World War in 1914 the colony was drawn into the conflict. It was invaded and quickly overrun by British and French forces and divided into separate British and French administrative zones, and this was formalized in 1922 with the creation of British Togoland and French Togoland. From 1922 we have included French Togoland with French West Africa and British Togoland with Gold Coast, because from that year it was administered from the British neighboring colony. We use current exports and imports from United Kingdom (colonies) Statistical Yearbook from 1914-1921 and data from Mitchell (2007) for the years 1892-1913. We extrapolate the level of trade in 1892 to 1850 with the series of Ghana-Gold Coast and we deflate with the Federico-Tena indexes for Ghana."
AFRICA,Tunisia,The first Ottoman conquest of Tunis took place in 1534 retaining it until the French occupation of Tunisia in 1881. We get series of special trade from Mitchell (2007) for 1876 to 1891 and from France Statistical Yearbook 1939  thereafter. We extrapolate backwards to 1830 with the average of the Algerie and Egypt exports and imports series. We deflate the series with a Federico-Tena price indexes.
